z,reference_u0,reference_u1
3.744778443079033181e-02,3.122494881716678159e-321,1.472315624606914702e-321
3.757344813693392488e-02,3.137316851091915556e-321,1.477256281065327167e-321
3.769911184307751101e-02,3.147198164008740486e-321,1.482196937523739633e-321
3.782477554922110408e-02,3.162020133383977883e-321,1.487137593982152098e-321
3.795043925536469714e-02,3.171901446300802814e-321,1.492078250440564563e-321
3.807610296150829021e-02,3.186723415676040210e-321,1.497018906898977029e-321
3.820176666765188328e-02,3.196604728592865141e-321,1.501959563357389494e-321
3.832743037379546941e-02,3.211426697968102537e-321,1.506900219815801960e-321
3.845309407993906248e-02,3.221308010884927468e-321,1.511840876274214425e-321
3.857875778608265555e-02,3.231189323801752399e-321,1.516781532732626891e-321
3.870442149222624861e-02,3.246011293176989795e-321,1.521722189191039356e-321
3.883008519836984168e-02,3.260833262552227192e-321,1.526662845649451822e-321
3.895574890451342781e-02,3.270714575469052122e-321,1.531603502107864287e-321
3.908141261065702088e-02,3.285536544844289519e-321,1.536544158566276752e-321
3.920707631680061395e-02,3.295417857761114450e-321,1.541484815024689218e-321
3.933274002294420701e-02,3.310239827136351846e-321,1.546425471483101683e-321
3.945840372908780008e-02,3.320121140053176777e-321,1.551366127941514149e-321
3.958406743523138621e-02,3.334943109428414173e-321,1.556306784399926614e-321
3.970973114137497928e-02,3.344824422345239104e-321,1.561247440858339080e-321
3.983539484751857235e-02,3.359646391720476500e-321,1.566188097316751545e-321
3.996105855366216542e-02,3.369527704637301431e-321,1.571128753775164010e-321
4.008672225980575848e-02,3.379409017554126362e-321,1.576069410233576476e-321
4.021238596594935155e-02,3.394230986929363758e-321,1.581010066691988941e-321
4.033804967209293768e-02,3.409052956304601155e-321,1.585950723150401407e-321
4.046371337823653075e-02,3.418934269221426086e-321,1.590891379608813872e-321
4.058937708438012382e-02,3.433756238596663482e-321,1.595832036067226338e-321
4.071504079052371688e-02,3.443637551513488413e-321,1.600772692525638803e-321
4.084070449666730995e-02,3.458459520888725809e-321,1.605713348984051269e-321
4.096636820281089608e-02,3.468340833805550740e-321,1.610654005442463734e-321
4.109203190895448915e-02,3.483162803180788136e-321,1.615594661900876199e-321
4.121769561509808222e-02,3.493044116097613067e-321,1.620535318359288665e-321
4.134335932124167529e-02,3.507866085472850464e-321,1.625475974817701130e-321
4.146902302738526835e-02,3.517747398389675395e-321,1.630416631276113596e-321
4.159468673352885448e-02,3.527628711306500325e-321,1.635357287734526061e-321
4.172035043967244755e-02,3.542450680681737722e-321,1.640297944192938527e-321
4.184601414581604062e-02,3.557272650056975118e-321,1.645238600651350992e-321
4.197167785195963369e-02,3.567153962973800049e-321,1.650179257109763458e-321
4.209734155810322676e-02,3.581975932349037445e-321,1.655119913568175923e-321
4.222300526424681288e-02,3.591857245265862376e-321,1.660060570026588388e-321
4.234866897039040595e-02,3.606679214641099772e-321,1.665001226485000854e-321
4.247433267653399902e-02,3.616560527557924703e-321,1.669941882943413319e-321
4.259999638267759209e-02,3.631382496933162100e-321,1.674882539401825785e-321
4.272566008882118516e-02,3.641263809849987031e-321,1.679823195860238250e-321
4.285132379496477129e-02,3.656085779225224427e-321,1.684763852318650716e-321
4.297698750110836435e-02,3.665967092142049358e-321,1.689704508777063181e-321
4.310265120725195742e-02,3.675848405058874289e-321,1.694645165235475647e-321
4.322831491339555049e-02,3.690670374434111685e-321,1.699585821693888112e-321
4.335397861953914356e-02,3.705492343809349081e-321,1.704526478152300577e-321
4.347964232568272969e-02,3.715373656726174012e-321,1.709467134610713043e-321
4.360530603182632275e-02,3.730195626101411409e-321,1.714407791069125508e-321
4.373096973796991582e-02,3.740076939018236339e-321,1.719348447527537974e-321
4.385663344411350889e-02,3.754898908393473736e-321,1.724289103985950439e-321
4.398229715025710196e-02,3.764780221310298667e-321,1.729229760444362905e-321
4.410796085640068809e-02,3.779602190685536063e-321,1.734170416902775370e-321
4.423362456254428116e-02,3.789483503602360994e-321,1.739111073361187836e-321
4.435928826868787422e-02,3.804305472977598390e-321,1.744051729819600301e-321
4.448495197483146729e-02,3.814186785894423321e-321,1.748992386278012766e-321
4.461061568097506036e-02,3.824068098811248252e-321,1.753933042736425232e-321
4.473627938711864649e-02,3.838890068186485648e-321,1.758873699194837697e-321
4.486194309326223956e-02,3.853712037561723045e-321,1.763814355653250163e-321
4.498760679940583262e-02,3.863593350478547975e-321,1.768755012111662628e-321
4.511327050554942569e-02,3.878415319853785372e-321,1.773695668570075094e-321
4.523893421169301876e-02,3.888296632770610303e-321,1.778636325028487559e-321
4.536459791783660489e-02,3.903118602145847699e-321,1.783576981486900024e-321
4.549026162398019796e-02,3.912999915062672630e-321,1.788517637945312490e-321
4.561592533012379103e-02,3.927821884437910026e-321,1.793458294403724955e-321
4.574158903626738409e-02,3.937703197354734957e-321,1.798398950862137421e-321
4.586725274241097716e-02,3.952525166729972353e-321,1.803339607320549886e-321
4.599291644855457023e-02,3.962406479646797284e-321,1.808280263778962352e-321
4.611858015469815636e-02,3.972287792563622215e-321,1.813220920237374817e-321
4.624424386084174943e-02,3.987109761938859612e-321,1.818161576695787283e-321
4.636990756698534250e-02,4.001931731314097008e-321,1.823102233154199748e-321
4.649557127312893556e-02,4.011813044230921939e-321,1.828042889612612213e-321
4.662123497927252863e-02,4.026635013606159335e-321,1.832983546071024679e-321
4.674689868541611476e-02,4.036516326522984266e-321,1.837924202529437144e-321
4.687256239155970783e-02,4.051338295898221662e-321,1.842864858987849610e-321
4.699822609770330090e-02,4.061219608815046593e-321,1.847805515446262075e-321
4.712388980384689396e-02,4.076041578190283989e-321,1.852746171904674541e-321
4.724955350999048703e-02,4.085922891107108920e-321,1.857686828363087006e-321
4.737521721613407316e-02,4.100744860482346317e-321,1.862627484821499472e-321
4.750088092227766623e-02,4.110626173399171248e-321,1.867568141279911937e-321
4.762654462842125930e-02,4.120507486315996178e-321,1.872508797738324402e-321
4.775220833456485237e-02,4.135329455691233575e-321,1.877449454196736868e-321
4.787787204070844543e-02,4.150151425066470971e-321,1.882390110655149333e-321
4.800353574685203156e-02,4.160032737983295902e-321,1.887330767113561799e-321
4.812919945299562463e-02,4.174854707358533298e-321,1.892271423571974264e-321
4.825486315913921770e-02,4.184736020275358229e-321,1.897212080030386730e-321
4.838052686528281077e-02,4.199557989650595626e-321,1.902152736488799195e-321
