z,hybrid_u0,hybrid_u1,hybrid_u2
4.202875808752625453e+00,-5.519571692852129896e-01,3.898656349435348223e-01,-1.972134145910299785e-01
4.234291735288524983e+00,-5.503473610850155850e-01,3.951843801689121083e-01,-1.930513900271581262e-01
4.265707661824424513e+00,-5.475460623822656636e-01,3.984279367094410995e-01,-1.869694673627559922e-01
4.297123588360324042e+00,-5.436014903204670068e-01,3.996288085441641047e-01,-1.790004580820205304e-01
4.328539514896224460e+00,-5.385652429913669881e-01,3.988342295207644161e-01,-1.692012010055420346e-01
4.359955441432123990e+00,-5.324919168185258123e-01,3.961053908877477658e-01,-1.576521353482248367e-01
4.391371367968023520e+00,-5.254387174087437051e-01,3.915165477170566288e-01,-1.444565116462611654e-01
4.422787294503923050e+00,-5.174650668929986486e-01,3.851540170686562625e-01,-1.297392488397297872e-01
4.454203221039820804e+00,-5.086322107099082723e-01,3.771150817672142552e-01,-1.136454521161435749e-01
4.485619147575716781e+00,-4.990028266914259270e-01,3.675068144699550343e-01,-9.633861223431378074e-02
4.517035074111612758e+00,-4.886406391943371452e-01,3.564448372975371759e-01,-7.799851283310146877e-02
4.548451000647508735e+00,-4.776100408839722422e-01,3.440520326733176315e-01,-5.881887756762608360e-02
4.579866927183406489e+00,-4.659757246205548653e-01,3.304572211710127827e-01,-3.900479369640564437e-02
4.611282853719304242e+00,-4.538023277259559118e-01,3.157938221103552268e-01,-1.876995286779617120e-02
4.642698780255203772e+00,-4.411540907216491281e-01,3.001985123718114989e-01,1.666246762782964096e-03
4.674114706791101526e+00,-4.280945324297901755e-01,2.838098984348717546e-01,2.208169038241606166e-02
4.705530633326999279e+00,-4.146861431209550863e-01,2.667672159925034703e-01,4.225457992966835663e-02
4.736946559862897033e+00,-4.009900971767074163e-01,2.492090706724614246e-01,6.196646185203346507e-02
4.768362486398794786e+00,-3.870659865151493406e-01,2.312722324215204794e-01,8.100520011562052647e-02
4.799778412934692540e+00,-3.729715758054262253e-01,2.130904950006142495e-01,9.916784640107610682e-02
4.831194339470592070e+00,-3.587625802750513127e-01,1.947936108178840442e-01,1.162633613437600022e-01
4.862610266006489823e+00,-3.444924666941356350e-01,1.765063100143604569e-01,1.321151434534433289e-01
4.894026192542387577e+00,-3.302122779052217849e-01,1.583474113356822810e-01,1.465633259210286088e-01
4.925442119078285330e+00,-3.159704810584370582e-01,1.404290308954307120e-01,1.594668058122320486e-01
4.956858045614183084e+00,-3.018128395108123363e-01,1.228558934835860122e-01,1.707049750715736169e-01
4.988273972150080837e+00,-2.877823081575830444e-01,1.057247496192679909e-01,1.801791282122839621e-01
5.019689898685978591e+00,-2.739189517834814125e-01,8.912390011124249334e-02,1.878135274366993790e-01
5.051105825221876344e+00,-2.602598858547222616e-01,7.313282849257070339e-02,1.935561120973717797e-01
5.082521751757774098e+00,-2.468392390186464336e-01,5.782194035567524842e-02,1.973788457465372459e-01
5.113937678293671851e+00,-2.336881364386658722e-01,4.325240734776249901e-02,1.992777004036288824e-01
5.145353604829571381e+00,-2.208347029679171292e-01,2.947611240886307410e-02,1.992722839706894677e-01
5.176769531365469135e+00,-2.083040850563531443e-01,1.653569175858295506e-02,1.974051228207816810e-01
5.208185457901366888e+00,-1.961184901931191937e-01,4.464668173660437354e-03,1.937406173577990165e-01
5.239601384437264642e+00,-1.842972426091267490e-01,-6.712330744885686845e-03,1.883636936890492886e-01
5.271017310973162395e+00,-1.728568539035621188e-01,-1.697927633276813744e-02,1.813781793669800579e-01
