z,hybrid_u0,hybrid_u1
5.166592502868035730e+00,-1.217946154144231574e-01,3.491205894030179063e-05
5.198008429403933484e+00,-1.183936914359612624e-01,3.298111464831684944e-05
5.229424355939831237e+00,-1.146803765678983816e-01,3.053974215877966318e-05
5.260840282475728991e+00,-1.107004582375332308e-01,2.781305547190643588e-05
5.292256209011626744e+00,-1.064986568624964464e-01,2.496990597455483481e-05
5.323672135547525386e+00,-1.021182681602611358e-01,2.213347111964293092e-05
5.355088062083423139e+00,-9.760085173903905453e-02,1.939044829094121574e-05
5.386503988619320893e+00,-9.298596450957481718e-02,1.679895515712401184e-05
5.417919915155218646e+00,-8.831093722368370258e-02,1.439523424706973461e-05
5.449335841691117288e+00,-8.361069229319406659e-02,1.219924973776115431e-05
5.480751768227015042e+00,-7.891760094772064249e-02,1.021925362821178075e-05
5.512167694762912795e+00,-7.426137773009652832e-02,8.455392101363636760e-06
5.543583621298810549e+00,-6.966901028671453056e-02,6.902425654362366061e-06
5.574999547834708302e+00,-6.516472237277086410e-02,5.551650871097635703e-06
5.606415474370606944e+00,-6.076996794982546246e-02,4.392136231963267553e-06
5.637831400906504697e+00,-5.650345419946175424e-02,3.411413641932141016e-06
5.669247327442402451e+00,-5.238119121009937595e-02,2.595792531980911483e-06
5.700663253978300204e+00,-4.841656601541430294e-02,1.930474337501900013e-06
5.732079180514197958e+00,-4.462043857626091237e-02,1.399633718304116414e-06
5.763495107050096600e+00,-4.100125720948291641e-02,9.865960835191383264e-07
5.794911033585994353e+00,-3.756519088388168837e-02,6.741830774077211726e-07
5.826326960121892107e+00,-3.431627573385755137e-02,4.452299533419647887e-07
5.857742886657789860e+00,-3.125657309275372414e-02,2.832167378950411730e-07
5.889158813193687614e+00,-2.838633632786960459e-02,1.729138377725688251e-07
5.920574739729586256e+00,-2.570418377338140256e-02,1.009318861962274147e-07
5.951990666265484009e+00,-2.320727511021774062e-02,5.608594187336789093e-08
5.983406592801381763e+00,-2.089148863553179705e-02,2.952726931893465899e-08
6.014822519337279516e+00,-1.875159699895660725e-02,1.464731485616035715e-08
6.046238445873177270e+00,-1.678143915641523362e-02,6.802629540733203928e-09
6.077654372409075911e+00,-1.497408650109008192e-02,2.935098509357941693e-09
6.109070298944973665e+00,-1.332200136979995279e-02,1.165109092690087927e-09
6.140486225480871418e+00,-1.181718638479396614e-02,4.200014204667006939e-10
6.171902152016769172e+00,-1.045132336829995671e-02,1.349059185954497751e-10
6.203318078552666925e+00,-9.215900852084806319e-03,3.741884291688234855e-11
6.234734005088565567e+00,-8.102329488838684937e-03,8.433274212177368541e-12
6.266149931624463321e+00,-7.102044948813448881e-03,1.253955954711844654e-12
