z,mol_u0,mol_u1
4.225442119078271830e+00,3.896455930229279774e-02,-7.419394191436159622e-03
4.256858045614169583e+00,2.851545735581962476e-02,-6.467387693840462304e-03
4.288273972150068225e+00,1.784082690954572753e-02,-5.602599013843676846e-03
4.319689898685965979e+00,7.024019482121296280e-03,-4.822453906915709181e-03
4.351105825221863732e+00,-3.849339673194326905e-03,-4.123474299866498188e-03
4.382521751757761486e+00,-1.469269317762327692e-02,-3.501478238071759931e-03
4.413937678293659239e+00,-2.541992284815990447e-02,-2.951763205135387019e-03
4.445353604829557881e+00,-3.594670971939985943e-02,-2.469271513581230808e-03
4.476769531365455634e+00,-4.619184229681749104e-02,-2.048737020665798627e-03
4.508185457901353388e+00,-5.607843531063363279e-02,-1.684812922095350971e-03
4.539601384437251141e+00,-6.553502592796699167e-02,-1.372180815458692730e-03
4.571017310973148895e+00,-7.449652061047559726e-02,-1.105641603075303760e-03
4.602433237509047537e+00,-8.290497305522018245e-02,-8.801891203215607374e-04
4.633849164044945290e+00,-9.071018136171099533e-02,-6.910676308622624563e-04
4.665265090580843044e+00,-9.787010017918686133e-02,-5.338145259670989441e-04
4.696681017116740797e+00,-1.043510706279168199e-01,-4.042897034959060652e-04
4.728096943652638551e+00,-1.101278768890710663e-01,-2.986931863770020423e-04
4.759512870188537192e+00,-1.151836432800639881e-01,-2.135725746104353586e-04
4.790928796724434946e+00,-1.195095892656634490e-01,-1.458219140417266104e-04
4.822344723260332700e+00,-1.231046622036431198e-01,-9.267351520991920022e-05
4.853760649796230453e+00,-1.259750687823328330e-01,-5.168417292666471589e-05
4.885176576332128207e+00,-1.281337262340579985e-01,-2.071712870660166273e-05
4.916592502868026848e+00,-1.295996536963601176e-01,2.079009352918598719e-06
4.948008429403924602e+00,-1.303973227464169660e-01,1.829331444723123262e-05
4.979424355939822355e+00,-1.305559843500160577e-01,2.927662773947852038e-05
5.010840282475720109e+00,-1.301089874211789066e-01,3.616590120609900117e-05
5.042256209011617862e+00,-1.290931020308752342e-01,3.990815615500107114e-05
5.073672135547516504e+00,-1.275478581516036602e-01,4.128355117346165285e-05
5.105088062083414258e+00,-1.255149087676041553e-01,4.092717702311683068e-05
5.136503988619312011e+00,-1.230374242796923728e-01,3.934930770675970228e-05
5.167919915155209765e+00,-1.201595234275942836e-01,3.695393598272875816e-05
5.199335841691108406e+00,-1.169257444606737056e-01,3.405550811441851970e-05
5.230751768227006160e+00,-1.133805590147361486e-01,3.089384705960405590e-05
5.262167694762903913e+00,-1.095679300916731908e-01,2.764731586272529284e-05
5.293583621298801667e+00,-1.055309146756680111e-01,2.444432315536335440e-05
