z,hybrid_u0,hybrid_u1,hybrid_u2
4.742698780255174107e+00,-3.994049213077694449e-01,-8.875758106867786407e-03,-1.328360567361049627e-01
4.774114706791071860e+00,-3.846431821951938890e-01,3.033706875709395179e-02,-8.046360891237402946e-02
4.805530633326969614e+00,-3.699395190495664010e-01,6.835671931517593725e-02,-2.905204737745474552e-02
4.836946559862867367e+00,-3.553819500098076012e-01,1.049516886211175615e-01,2.109209435502075458e-02
4.868362486398765121e+00,-3.410496804156210038e-01,1.399090116177677534e-01,6.967835758087335962e-02
4.899778412934662875e+00,-3.270126953052098218e-01,1.730360532294160925e-01,1.164350488413605916e-01
4.931194339470561516e+00,-3.133315108232307411e-01,2.041620055257314659e-01,1.611116606913779448e-01
4.962610266006459270e+00,-3.000570807296317755e-01,2.331390787963149858e-01,2.034809938173447741e-01
4.994026192542357023e+00,-2.872308515688239416e-01,2.598433782784401735e-01,2.433409566512747813e-01
5.025442119078254777e+00,-2.748849576742071199e-01,2.841754631965717204e-01,2.805160240614802403e-01
5.056858045614152530e+00,-2.630425450836486601e-01,3.060605896158158368e-01,3.148583423341632659e-01
5.088273972150051172e+00,-2.517182116574224193e-01,3.254486433008048629e-01,3.462484733868029796e-01
5.119689898685948926e+00,-2.409185492432283915e-01,3.423137732299555425e-01,3.745957768676135280e-01
5.151105825221846679e+00,-2.306427726366439279e-01,3.566537405720052178e-01,3.998384343919434980e-01
5.182521751757744433e+00,-2.208834193447903882e-01,3.684890017240445848e-01,4.219431255476069342e-01
5.213937678293642186e+00,-2.116271037730640958e-01,3.778615473832847571e-01,4.409043703749739862e-01
5.245353604829540828e+00,-2.028553094089116660e-01,3.848335225330160592e-01,4.567435577106149780e-01
