z,mol_u0,mol_u1,mol_u2
4.162610266006476323e+00,-5.546029175357607421e-01,-5.845884811711110629e-01,-8.665005013434059489e-01
4.194026192542374076e+00,-5.587830328396570234e-01,-5.708360643358991737e-01,-8.505578940875813121e-01
4.225442119078271830e+00,-5.610768796427252347e-01,-5.542362110524139407e-01,-8.310646994351537087e-01
4.256858045614169583e+00,-5.615232557736539176e-01,-5.348776927094646139e-01,-8.080842173798292727e-01
4.288273972150068225e+00,-5.601756466189420358e-01,-5.128739942506823635e-01,-7.817083929847241652e-01
4.319689898685965979e+00,-5.571014094316137921e-01,-4.883621786705912848e-01,-7.520574782970183003e-01
4.351105825221863732e+00,-5.523807704429583021e-01,-4.615014643255593851e-01,-7.192793325321356068e-01
4.382521751757761486e+00,-5.461056543419627873e-01,-4.324715355232991443e-01,-6.835483663210035754e-01
4.413937678293659239e+00,-5.383783684271840064e-01,-4.014706107047877892e-01,-6.450641416406694972e-01
4.445353604829557881e+00,-5.293101659710142126e-01,-3.687132959588056980e-01,-6.040496446724638036e-01
4.476769531365455634e+00,-5.190197150307958029e-01,-3.344282545575258392e-01,-5.607492541478117376e-01
4.508185457901353388e+00,-5.076315000723543580e-01,-2.988557256268385975e-01,-5.154264326515773931e-01
4.539601384437251141e+00,-4.952741843298170688e-01,-2.622449269326504462e-01,-4.683611727673817615e-01
4.571017310973148895e+00,-4.820789608147308947e-01,-2.248513780498617720e-01,-4.198472337900064910e-01
4.602433237509047537e+00,-4.681779193239126169e-01,-1.869341808708582797e-01,-3.701892079305909578e-01
4.633849164044945290e+00,-4.537024557073524034e-01,-1.487532945025618891e-01,-3.196994574478219664e-01
4.665265090580843044e+00,-4.387817480839836803e-01,-1.105668411037121629e-01,-2.686949659139843960e-01
4.696681017116740797e+00,-4.235413226829516931e-01,-7.262847814586473327e-02,-2.174941478448860488e-01
4.728096943652638551e+00,-4.081017295979146864e-01,-3.518487097106992589e-02,-1.664136611783255393e-01
4.759512870188537192e+00,-3.925773460352878774e-01,1.526702595812492666e-03,-1.157652665833846933e-01
4.790928796724434946e+00,-3.770753216822869680e-01,3.728058639582587652e-02,-6.585277634311777206e-02
4.822344723260332700e+00,-3.616946776882714598e-01,7.186479264039616344e-02,-1.696913361090679820e-02
4.853760649796230453e+00,-3.465255675156735937e-01,1.050828382915894588e-01,3.060633975641310900e-02
4.885176576332128207e+00,-3.316487046465632638e-01,1.367553518457831352e-01,7.661049177848237857e-02
4.916592502868026848e+00,-3.171349588974388678e-01,1.667214350707829085e-01,1.207986540532705877e-01
4.948008429403924602e+00,-3.030451199641782112e-01,1.948397682140859122e-01,1.629466934569768488e-01
4.979424355939822355e+00,-2.894298238522194366e-01,2.209894512425609470e-01,2.028527792487573866e-01
5.010840282475720109e+00,-2.763296350986957917e-01,2.450705777214319259e-01,2.403388477913679100e-01
5.042256209011617862e+00,-2.637752752108268317e-01,2.670045419252360941e-01,2.752517520842771570e-01
5.073672135547516504e+00,-2.517879855678022971e-01,2.867340836303747253e-01,3.074640883786516898e-01
