z,reference_u0,reference_u1,reference_u2
5.277875658030852651e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.305800926062761991e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.333726194094671330e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.361651462126580669e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.389576730158490009e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.417501998190399348e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.445427266222308688e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.473352534254218027e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.501277802286127366e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.529203070318036012e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.557128338349945351e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.585053606381854691e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.612978874413764030e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.640904142445673369e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.668829410477582709e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.696754678509492048e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.724679946541401387e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.752605214573310727e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.780530482605220066e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.808455750637128712e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.836381018669038051e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.864306286700947390e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.892231554732856730e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.920156822764766069e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.948082090796675409e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.976007358828584748e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.003932626860494087e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.031857894892403427e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.059783162924312766e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.087708430956222105e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.115633698988130751e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.143558967020040090e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.171484235051949430e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.199409503083858769e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
