z,hybrid_u0,hybrid_u1
2.298475773593641414e+00,4.775399846290722533e-02,-2.278754374363672203e-02
2.318985396921976694e+00,4.560152548483292073e-02,-3.234691948860821814e-02
2.339448859505537825e+00,4.317877839415532742e-02,-4.192199403580788158e-02
2.359869174544449333e+00,4.050642907395268083e-02,-5.147892095923657652e-02
2.380249481032659098e+00,3.760489465584433699e-02,-6.098391782008336787e-02
2.400593046559849508e+00,3.449433792843475954e-02,-7.040347103586892807e-02
2.420903267895783806e+00,3.119486996123783593e-02,-7.970453340314245794e-02
2.441183668931818485e+00,2.772682346108699264e-02,-8.885471451883648897e-02
2.461437896010652437e+00,2.411101991988682733e-02,-9.782246448492426527e-02
2.481669710890996416e+00,2.036899263480333733e-02,-1.065772510608634649e-01
2.501882981659431682e+00,1.652315246118269201e-02,-1.150897301145774460e-01
2.522081671886454934e+00,1.259689686086364058e-02,-1.233319089598295254e-01
2.542269828273839849e+00,8.614668947607085486e-03,-1.312773020072202368e-01
2.562451566984011997e+00,4.601974826881041931e-03,-1.389010780929140210e-01
2.582631058792558942e+00,5.853667970910207165e-04,-1.461801988520706475e-01
2.602812513168029973e+00,-3.407601646643002719e-03,-1.530935475360549192e-01
2.623000161359136051e+00,-7.348444781932760711e-03,-1.596220477023414797e-01
2.643198238556782709e+00,-1.120783480860405162e-02,-1.657487712120193912e-01
2.663410965194796809e+00,-1.495571141073742498e-02,-1.714590349402906888e-01
2.683642527456357119e+00,-1.856140959768125265e-02,-1.767404855371979555e-01
2.703897057061579901e+00,-2.199380500064726171e-02,-1.815831714724490675e-01
2.724178610423538593e+00,-2.522147586740903710e-02,-1.859796014675621223e-01
2.744491147274634280e+00,-2.821288089069525287e-02,-1.899247882722520930e-01
2.764838508881524604e+00,-3.093655178318730978e-02,-1.934162765937335604e-01
2.785224395984459367e+00,-3.336129921723147290e-02,-1.964541538529151476e-01
2.805652346614718518e+00,-3.545643041341651341e-02,-1.990410423364478154e-01
2.826125713962187369e+00,-3.719197631493639800e-02,-2.011820712547688350e-01
2.846647644482343864e+00,-3.853892594518036618e-02,-2.028848272191540736e-01
2.867221056448518102e+00,-3.946946523254427075e-02,-2.041592817296535856e-01
2.887848619169800735e+00,-3.995721731498792090e-02,-2.050176944322339156e-01
2.908532733107352719e+00,-3.997748112148408195e-02,-2.054744911659631967e-01
2.929275511131363086e+00,-3.950746488008419904e-02,-2.055461161839375328e-01
2.950078761166826880e+00,-3.852651113210325134e-02,-2.052508583943191411e-01
