z,mol_u0,mol_u1
2.691297706575255688e+00,-2.119568637031611635e-02,-1.760819348188671640e-01
2.712241657599187672e+00,-2.410548113925787411e-02,-1.807705540554085111e-01
2.733185608623119656e+00,-2.676883150027110914e-02,-1.849917714426676796e-01
2.754129559647051639e+00,-2.915491937044031867e-02,-1.887429203819790957e-01
2.775073510670983623e+00,-3.123384939345576899e-02,-1.920244568037254573e-01
2.796017461694915607e+00,-3.297690821925629984e-02,-1.948398901806751016e-01
2.816961412718847590e+00,-3.435681074507332400e-02,-1.971956801847338514e-01
2.837905363742779574e+00,-3.534793114851141060e-02,-1.991011003327020634e-01
2.858849314766711114e+00,-3.592651640827058263e-02,-2.005680704520081958e-01
2.879793265790643098e+00,-3.607088003127038173e-02,-2.016109602681539215e-01
2.900737216814575081e+00,-3.576157387541183119e-02,-2.022463668631205858e-01
2.921681167838507065e+00,-3.498153625542082396e-02,-2.024928691684963200e-01
2.942625118862439049e+00,-3.371621491939642834e-02,-2.023707630282191028e-01
2.963569069886371032e+00,-3.195366395642584845e-02,-2.019017806833454387e-01
2.984513020910303016e+00,-2.968461421017105570e-02,-2.011087987856517989e-01
3.005456971934235000e+00,-2.690251729964076091e-02,-2.000155392300350665e-01
3.026400922958166984e+00,-2.360356385880707161e-02,-1.986462672013725173e-01
3.047344873982098967e+00,-1.978667707741272111e-02,-1.970254908557017848e-01
3.068288825006030951e+00,-1.545348303700371830e-02,-1.951776669966643063e-01
3.089232776029962935e+00,-1.060825967486513088e-02,-1.931269169668884955e-01
3.110176727053894918e+00,-5.257866465446308160e-03,-1.908967567534132492e-01
3.131120678077826902e+00,5.883429194441778566e-04,-1.885098450114373603e-01
3.152064629101758442e+00,6.918622622612047995e-03,-1.859877523484372852e-01
3.173008580125690425e+00,1.371894892724684692e-02,-1.833507547892474776e-01
3.193952531149622409e+00,2.097314459847553561e-02,-1.806176538713923363e-01
3.214896482173554393e+00,2.866301106147127811e-02,-1.778056253089767558e-01
3.235840433197486377e+00,3.676846640126797683e-02,-1.749300976236208283e-01
3.256784384221418360e+00,4.526768736596700760e-02,-1.720046615835215120e-01
3.277728335245350344e+00,5.413725377043505232e-02,-1.690410107283406849e-01
3.298672286269282328e+00,6.335229391954054490e-02,-1.660489126999963594e-01
3.319616237293214311e+00,7.288662988763829065e-02,-1.630362105593430866e-01
3.340560188317146295e+00,8.271292169554048113e-02,-1.600088527577386011e-01
3.361504139341078279e+00,9.280280961100990933e-02,-1.569709499617387982e-01
3.382448090365010263e+00,1.031270539596379765e-01,-1.539248565090234888e-01
