z,reference_u0,reference_u1
3.782477554922110408e-02,-3.546833622696176497e-02,1.757563168497514872e-01
3.795043925536469714e-02,-3.558952509414357868e-02,1.756082520010016079e-01
3.807610296150829021e-02,-3.571073699391447143e-02,1.754597608845678003e-01
3.820176666765188328e-02,-3.583197189318022141e-02,1.753108437656789864e-01
3.832743037379546941e-02,-3.595322975864025106e-02,1.751615009103437703e-01
3.845309407993906248e-02,-3.607451055678777968e-02,1.750117325853513539e-01
3.857875778608265555e-02,-3.619581425391007329e-02,1.748615390582722029e-01
3.870442149222624861e-02,-3.631714081608867356e-02,1.747109205974587964e-01
3.883008519836984168e-02,-3.643849020919959908e-02,1.745598774720464597e-01
3.895574890451342781e-02,-3.655986239891360207e-02,1.744084099519541686e-01
3.908141261065702088e-02,-3.668125735069630716e-02,1.742565183078852165e-01
3.920707631680061395e-02,-3.680267502980857919e-02,1.741042028113279905e-01
3.933274002294420701e-02,-3.692411540130663417e-02,1.739514637345569159e-01
3.945840372908780008e-02,-3.704557843004230300e-02,1.737983013506330388e-01
3.958406743523138621e-02,-3.716706408066326739e-02,1.736447159334048862e-01
3.970973114137497928e-02,-3.728857231761330271e-02,1.734907077575091328e-01
3.983539484751857235e-02,-3.741010310513246534e-02,1.733362770983717382e-01
3.996105855366216542e-02,-3.753165640725736329e-02,1.731814242322081976e-01
4.008672225980575848e-02,-3.765323218782138520e-02,1.730261494360247898e-01
4.021238596594935155e-02,-3.777483041045492235e-02,1.728704529876191609e-01
4.033804967209293768e-02,-3.789645103858559766e-02,1.727143351655810455e-01
4.046371337823653075e-02,-3.801809403543855020e-02,1.725577962492931550e-01
4.058937708438012382e-02,-3.813975936403659478e-02,1.724008365189320102e-01
4.071504079052371688e-02,-3.826144698720054110e-02,1.722434562554686632e-01
4.084070449666730995e-02,-3.838315686754937422e-02,1.720856557406694465e-01
4.096636820281089608e-02,-3.850488896750053902e-02,1.719274352570968334e-01
4.109203190895448915e-02,-3.862664324927016224e-02,1.717687950881102432e-01
4.121769561509808222e-02,-3.874841967487328148e-02,1.716097355178668460e-01
4.134335932124167529e-02,-3.887021820612411582e-02,1.714502568313221731e-01
4.146902302738526835e-02,-3.899203880463631561e-02,1.712903593142312553e-01
4.159468673352885448e-02,-3.911388143182317756e-02,1.711300432531491500e-01
4.172035043967244755e-02,-3.923574604889790846e-02,1.709693089354317741e-01
4.184601414581604062e-02,-3.935763261687390269e-02,1.708081566492369308e-01
4.197167785195963369e-02,-3.947954109656495736e-02,1.706465866835248091e-01
